time,n_oxygens_36,n_hydrogens_36,n_oxygens_35,n_hydrogens_35,n_oxygens_34,n_hydrogens_34,n_oxygens_33,n_hydrogens_33,n_oxygens_32,n_hydrogens_32,n_oxygens_31,n_hydrogens_31,n_oxygens_30,n_hydrogens_30,n_oxygens_29,n_hydrogens_29,n_oxygens_28,n_hydrogens_28,n_oxygens_27,n_hydrogens_27,n_oxygens_26,n_hydrogens_26
1400,4,5,3,12,7,11,5,10,6,12,6,13,5,13,6,10,5,10,6,12,5,15
1410,3,7,8,13,4,11,7,14,6,12,5,14,8,14,6,15,5,10,6,11,6,11
1420,4,10,7,9,6,13,4,9,8,13,4,13,7,12,6,12,5,11,7,10,6,12
1430,8,10,5,17,5,9,5,13,3,7,5,11,4,14,9,12,4,10,11,17,7,11
1440,3,8,9,17,5,10,5,12,8,14,6,10,4,10,8,15,6,14,8,12,5,12
1450,5,8,6,12,5,12,5,13,6,9,11,17,4,13,5,10,6,8,7,16,6,13
1460,3,5,11,17,2,10,7,12,5,12,9,16,3,13,8,12,5,9,8,16,3,8
1470,4,8,8,14,5,16,6,9,3,10,9,14,5,9,4,13,7,14,9,12,3,14
1480,4,14,14,19,2,10,7,11,7,16,4,10,7,14,7,10,5,10,3,11,9,11
1490,4,11,9,13,6,13,5,10,5,13,7,7,9,20,4,9,5,11,8,11,6,13
1500,5,10,8,15,7,13,3,11,6,12,7,14,8,12,8,17,3,10,7,10,9,17
1510,5,12,8,13,7,15,6,13,4,8,9,20,6,11,4,9,10,13,4,14,4,9
1520,3,9,8,12,4,12,4,10,6,13,9,14,5,12,7,13,3,14,7,13,7,16
1530,3,5,8,14,2,11,5,12,7,10,6,15,5,8,6,10,7,11,5,15,5,8
1540,3,4,4,11,7,15,9,10,4,14,8,9,6,15,5,12,7,17,3,8,7,11
1550,2,4,8,13,7,7,4,17,7,13,5,9,4,13,7,17,6,8,6,12,11,15
1560,4,6,9,18,5,12,7,10,7,15,6,12,4,8,7,14,6,13,9,14,4,11
1570,6,11,9,16,5,11,2,10,11,15,5,12,2,7,6,16,7,11,7,10,6,14
1580,3,6,9,18,3,5,5,13,9,13,6,11,3,8,6,12,8,16,7,9,5,12
1590,4,9,5,8,6,11,5,12,5,10,7,12,7,13,4,10,4,9,8,15,7,12
1600,6,13,5,10,9,11,4,18,7,11,7,12,5,14,6,12,6,10,6,14,6,13
1610,5,7,6,14,6,12,6,10,7,11,8,14,2,12,7,8,8,17,5,14,6,9
1620,7,12,7,12,2,9,8,9,4,14,10,15,2,8,10,16,7,14,2,9,9,9
1630,7,10,4,11,5,10,8,16,7,10,6,14,5,12,5,5,5,12,7,15,8,14
1640,5,10,7,12,3,9,9,11,4,15,7,11,8,17,4,12,8,6,7,19,7,11
1650,3,9,9,13,2,9,5,11,7,11,5,9,7,13,4,14,8,12,6,11,3,11
1660,6,11,6,11,3,7,5,10,4,14,9,10,3,12,8,13,9,15,4,13,5,8
1670,6,12,7,11,3,6,6,13,5,10,6,16,9,14,2,8,6,11,4,16,6,10
1680,7,12,6,13,4,9,5,9,6,13,8,11,4,10,5,11,6,15,7,10,6,18
1690,6,10,3,9,4,9,4,6,7,11,7,9,5,16,6,10,6,12,4,12,8,9
1700,5,11,5,10,6,12,6,8,5,14,7,12,5,12,6,10,6,12,4,6,7,16
1710,2,7,7,13,4,6,6,14,10,16,4,7,3,8,9,16,5,9,4,10,7,14
1720,6,9,2,10,6,9,4,10,7,9,8,19,5,7,7,11,5,11,4,6,6,14
1730,10,15,5,12,4,7,10,16,4,13,4,9,10,12,6,16,6,15,3,8,9,14
1740,5,12,7,11,4,7,4,9,6,11,6,14,6,10,7,17,6,11,3,8,9,15
1750,3,7,8,13,8,11,6,15,7,12,3,11,6,12,5,13,9,12,1,9,7,11
1760,4,6,6,13,3,14,6,10,6,10,7,12,6,11,6,9,6,19,4,11,7,10
1770,4,6,4,12,4,7,6,17,6,7,6,12,8,15,6,12,6,16,7,13,5,14
1780,3,4,3,9,11,12,3,14,4,13,9,10,5,11,3,7,9,15,8,15,3,8
1790,2,9,6,9,6,9,5,11,6,11,6,11,7,13,5,13,4,12,7,11,5,10
1800,2,5,4,9,7,12,6,8,7,12,8,15,3,13,10,14,3,17,9,9,5,10
1810,7,13,5,11,3,7,7,11,5,8,5,14,11,13,4,13,5,9,8,12,9,14
1820,5,10,6,10,5,14,8,7,5,15,6,11,7,13,5,13,6,10,4,11,8,10
1830,3,6,6,15,5,11,4,10,10,11,5,13,4,8,6,14,8,9,4,11,6,12
1840,3,7,6,11,8,17,2,4,8,13,6,17,4,6,5,14,4,7,6,13,5,15
1850,2,5,7,13,8,13,3,11,4,10,9,15,7,7,2,11,6,7,7,17,8,15
1860,3,10,9,16,6,11,4,10,10,15,5,11,6,13,7,13,7,14,2,8,8,15
1870,3,5,6,11,6,14,6,8,6,16,8,9,5,12,5,15,5,12,6,9,3,10
1880,5,10,5,15,7,9,7,12,2,8,10,13,6,14,8,8,5,19,6,7,3,13
1890,4,9,6,10,4,11,7,9,3,12,10,12,6,19,7,8,3,12,7,10,7,16
1900,6,8,3,8,8,13,4,9,6,13,5,10,8,15,3,6,4,9,7,15,5,11
1910,7,11,9,15,3,12,4,5,6,15,9,14,2,8,11,16,5,11,4,13,9,13
1920,4,6,8,15,6,14,4,10,7,11,6,13,7,9,5,16,6,11,7,14,6,11
1930,3,2,6,13,7,14,7,14,5,10,8,13,6,16,6,12,5,10,8,16,5,11
1940,3,6,7,14,7,5,6,14,5,6,6,16,9,12,2,8,11,15,2,9,6,14
1950,4,4,8,9,5,14,5,9,6,11,4,14,8,12,6,10,6,8,5,15,6,7
1960,7,10,4,10,4,12,7,11,8,12,5,14,7,10,8,14,4,11,5,10,7,11
1970,6,6,3,12,7,10,3,10,6,8,8,17,8,12,4,14,4,10,9,19,6,11
1980,4,6,5,13,6,12,5,8,7,17,4,7,6,17,7,10,4,14,7,12,7,12
1990,4,10,6,10,5,12,6,11,7,10,7,18,7,12,5,14,8,10,6,16,5,6
2000,4,7,8,10,3,9,4,8,8,13,3,13,8,9,5,14,8,12,4,13,4,11
2010,3,4,7,12,5,11,5,10,4,9,9,13,5,14,4,8,4,11,8,11,3,10
2020,2,8,4,8,7,12,6,13,7,13,3,11,7,10,7,15,4,10,8,13,6,14
2030,6,9,7,11,5,11,6,13,6,15,4,10,8,12,7,17,4,7,5,13,8,15
2040,6,13,7,13,5,12,6,8,5,12,8,18,5,10,5,12,9,10,4,12,5,12
2050,4,15,7,7,4,12,8,11,6,11,6,13,5,15,8,7,2,12,10,14,2,9
2060,4,5,7,12,3,9,5,11,9,12,4,11,4,10,7,16,5,5,9,15,4,12
2070,8,12,4,11,6,12,6,9,9,17,6,10,6,13,8,12,7,16,4,8,7,13
2080,2,9,10,16,2,6,4,8,7,13,6,16,6,12,7,14,6,11,6,11,7,9
2090,5,12,4,7,3,9,8,10,4,10,8,13,5,13,3,5,7,16,6,12,7,12
2100,5,8,8,14,1,9,6,11,8,10,8,15,5,10,5,8,8,15,5,12,7,13
2110,2,7,7,11,6,11,5,9,5,12,4,10,7,11,7,11,5,12,8,13,6,11
2120,3,5,4,11,5,9,5,8,5,12,5,8,8,19,7,10,3,12,7,13,6,11
2130,5,4,7,14,3,8,5,12,7,10,4,8,5,11,8,15,8,13,4,11,11,16
2140,3,7,6,12,5,10,7,10,6,9,5,15,6,12,7,14,5,8,8,15,6,10
2150,5,11,6,9,6,11,5,11,7,12,5,17,8,10,4,13,11,14,5,12,8,13
2160,5,8,7,14,3,4,7,15,8,12,3,14,8,10,9,14,1,10,8,6,6,16
2170,5,10,4,13,5,10,10,16,3,8,9,12,7,14,2,10,6,11,7,13,7,12
2180,4,9,7,13,5,13,5,8,6,14,5,8,6,14,6,6,8,22,5,10,5,13
2190,6,12,4,8,6,9,6,15,7,13,6,12,7,13,5,14,7,10,9,16,5,15
2200,3,11,8,8,4,13,6,7,5,12,9,17,7,8,3,11,8,15,8,17,5,7
2210,5,10,7,15,5,12,6,10,8,14,4,14,8,9,3,13,7,10,4,12,10,12
2220,6,13,5,9,5,11,7,13,4,12,5,10,5,10,8,16,7,13,4,9,6,10
2230,8,8,4,15,5,9,6,9,7,13,7,15,5,12,7,12,6,11,5,15,6,11
2240,2,4,8,14,6,9,1,9,11,16,3,9,7,13,7,15,6,8,8,18,4,15
2250,2,3,5,11,8,15,4,8,5,9,4,9,4,8,4,10,9,12,3,13,7,10
2260,5,6,5,12,6,12,5,9,5,9,5,10,7,14,5,11,9,15,6,12,6,14
2270,1,7,12,19,3,9,4,8,8,14,7,12,5,8,8,11,3,13,5,10,4,14
2280,4,9,7,14,4,6,3,10,10,13,3,11,6,10,5,11,10,16,6,9,6,13
2290,4,10,3,8,5,10,6,13,4,5,7,13,6,12,6,11,6,16,4,8,4,10
2300,4,8,6,10,7,11,4,12,4,6,9,13,4,12,6,11,7,16,9,11,3,9
2310,3,5,6,9,6,9,4,12,5,10,8,16,4,7,4,14,9,12,5,9,5,12
2320,6,9,5,13,5,9,5,11,5,13,9,17,3,9,8,17,5,9,5,12,7,12
2330,2,11,5,6,4,12,4,9,8,11,4,12,5,14,10,10,4,11,6,13,7,16
2340,6,11,4,10,6,11,5,13,5,8,8,12,4,12,5,12,6,11,5,10,7,16
2350,6,11,4,12,3,7,7,12,6,9,5,14,6,9,7,12,5,11,4,10,9,17
2360,6,13,7,11,3,4,7,15,5,11,3,13,11,14,5,15,6,10,8,15,7,13
2370,4,11,7,11,2,6,5,12,8,11,3,11,6,11,7,12,6,14,5,8,6,11
2380,5,11,6,8,3,7,6,10,8,17,5,10,7,16,5,9,8,10,5,16,6,12
2390,3,7,6,11,7,12,4,7,3,6,8,15,5,10,5,10,7,13,6,13,5,12
2400,3,11,5,11,4,8,6,7,6,17,5,9,6,14,6,17,7,13,4,5,7,13
2410,5,11,8,15,7,6,5,13,7,16,6,15,4,7,6,13,6,14,8,15,5,13
2420,8,10,3,12,6,10,6,17,7,12,7,12,6,14,7,11,3,10,10,17,6,10
2430,8,15,4,6,4,12,9,14,3,10,5,10,11,19,3,10,6,10,5,11,5,12
2440,5,13,10,12,2,12,8,12,2,13,5,8,9,15,8,12,5,13,4,11,6,11
2450,4,8,8,12,5,13,4,11,8,15,5,9,7,12,6,14,5,8,3,10,4,12
2460,6,11,7,16,8,9,3,10,9,16,6,11,6,8,7,19,4,7,6,15,7,14
2470,2,6,4,14,8,8,7,15,7,8,3,14,7,12,8,17,7,10,6,13,4,17
2480,5,10,5,10,7,15,5,7,6,11,5,11,7,12,6,14,7,8,3,10,9,15
2490,3,7,5,10,4,9,7,13,8,13,8,12,3,10,10,19,4,12,8,8,2,14
2500,3,4,3,11,4,7,8,16,4,10,5,12,8,12,5,16,6,7,7,15,9,11
2510,9,10,3,9,7,11,5,14,8,15,5,11,6,13,6,11,7,12,8,12,5,14
2520,5,11,3,10,7,12,8,11,4,12,9,16,2,8,8,11,7,13,6,14,4,11
2530,3,4,4,10,6,13,5,9,3,12,10,10,8,14,4,11,8,14,7,11,5,15
2540,3,5,4,9,8,11,4,14,4,8,7,13,5,12,8,9,4,13,6,7,5,8
2550,3,9,6,10,5,10,6,6,4,13,10,12,3,14,5,7,6,13,6,8,6,14
2560,2,6,4,7,6,11,5,9,3,12,7,13,6,10,5,13,5,10,9,13,3,11
2570,3,6,7,16,3,9,7,15,8,8,4,9,5,10,5,18,9,10,6,13,3,14
2580,3,6,5,16,9,13,3,8,4,11,6,14,9,12,3,10,5,11,8,16,4,9
2590,4,7,6,14,6,12,7,14,7,14,6,11,3,11,7,10,4,12,9,15,3,9
2600,7,9,4,13,7,12,5,11,5,14,6,11,7,12,7,14,8,17,3,7,9,14
