time,n_oxygens_36,n_hydrogens_36,n_oxygens_35,n_hydrogens_35,n_oxygens_34,n_hydrogens_34,n_oxygens_33,n_hydrogens_33,n_oxygens_32,n_hydrogens_32,n_oxygens_31,n_hydrogens_31,n_oxygens_30,n_hydrogens_30,n_oxygens_29,n_hydrogens_29,n_oxygens_28,n_hydrogens_28,n_oxygens_27,n_hydrogens_27,n_oxygens_26,n_hydrogens_26
2230,4,6,5,15,8,12,4,15,5,7,6,17,8,11,5,12,7,14,5,14,8,10
2240,3,6,7,13,6,8,6,9,2,15,10,11,6,12,6,13,4,7,6,15,7,11
2250,3,9,5,10,7,9,4,12,6,6,5,15,6,10,5,11,4,12,8,12,4,11
2260,4,7,5,11,6,11,4,9,9,10,2,9,7,6,4,15,10,14,2,8,7,16
2270,4,4,4,10,6,10,6,15,7,13,6,11,2,7,5,10,5,13,5,11,7,6
2280,5,7,7,19,7,9,2,11,7,8,6,16,5,8,3,13,7,13,7,11,3,10
2290,0,3,6,9,10,20,4,8,4,6,6,16,8,12,3,9,6,10,5,11,8,15
2300,8,13,6,8,5,15,6,11,6,13,2,7,6,7,5,16,3,7,10,11,3,11
2310,4,7,10,18,5,11,3,11,7,11,5,8,4,11,6,12,4,11,10,19,5,14
2320,5,10,6,11,5,14,7,7,6,19,5,6,3,9,7,10,7,17,6,10,2,10
2330,5,10,6,10,5,9,5,15,8,11,3,8,6,14,7,15,7,11,6,8,7,11
2340,5,7,6,12,5,12,5,11,6,12,5,8,6,12,4,8,5,12,6,14,6,13
2350,3,8,5,9,7,11,3,11,6,10,5,12,4,8,6,10,6,11,4,13,4,6
2360,2,6,7,14,4,7,5,11,8,12,2,6,3,8,7,13,7,13,6,10,3,12
2370,5,5,4,13,5,10,5,14,5,11,8,10,6,10,5,13,7,7,2,15,12,12
2380,8,8,3,15,6,10,5,11,5,9,4,11,7,9,5,12,9,12,4,10,8,11
2390,7,8,4,15,5,11,5,7,6,12,6,11,7,11,4,11,5,13,8,11,4,11
2400,5,7,4,13,7,10,5,10,7,11,5,16,6,13,4,11,5,9,9,10,5,12
2410,4,8,8,10,4,11,7,12,7,13,5,13,6,10,3,11,7,8,5,17,7,13
2420,5,10,5,9,6,14,5,13,6,10,7,11,5,11,5,14,4,7,5,12,8,14
2430,2,4,4,6,4,12,8,12,5,11,7,10,4,13,5,10,7,16,5,12,11,12
2440,2,3,8,20,2,9,9,11,2,10,6,11,8,13,4,8,5,12,7,14,8,9
2450,2,5,8,16,8,11,6,18,7,10,6,6,8,18,6,11,6,13,8,10,5,14
