Rg,Ree
0.950188,1.046
0.943814,1.203
0.95001,1.129
0.975341,1.06
0.953008,1.179
0.960261,1.001
0.953932,1.02
0.947862,0.916
0.959208,0.911
0.966606,2.52
0.962696,2.568
0.949671,2.476
0.9582,2.41
0.980522,1.107
0.794553,1.519
0.789989,1.606
0.978206,1.099
0.97039,1.101
0.781895,1.674
0.798959,1.661
0.959186,1.169
0.960374,1.164
0.809514,1.808
0.805715,1.846
0.815548,1.838
0.806136,1.812
0.808822,1.88
0.975291,2.665
0.975375,2.784
0.817796,1.806
0.807111,1.785
0.990303,2.905
1.01313,2.881
0.974469,1.074
1.00155,3.092
1.00596,3.006
1.00554,3.039
1.02291,3.093
1.00201,3.049
0.974246,2.985
1.34506,3.869
1.32885,3.791
0.980723,1.232
0.989764,2.872
0.986801,2.845
0.971741,2.842
0.951278,1.458
0.96217,1.296
0.967549,1.44
1.29931,3.616
1.27522,3.468
1.24213,3.353
0.975651,1.699
1.25104,3.28
0.960639,1.853
1.3272,3.989
1.32694,4.074
0.953796,1.813
0.972414,1.858
0.968627,1.996
0.963129,1.785
0.964958,1.695
0.968192,1.584
1.39516,3.281
1.36695,3.401
1.34013,3.516
1.33364,3.518
1.31056,3.636
1.32295,3.599
0.750525,2.321
1.07767,3.245
0.76588,2.334
1.14601,3.382
1.09641,3.137
1.10673,3.241
1.1306,3.206
1.20588,3.115
1.2304,3.166
1.2035,3.11
1.20714,3.225
1.19251,3.068
1.17258,2.953
1.20819,3.08
1.20412,3.031
1.20006,3.11
1.18811,3.033
1.42788,4.15
1.16202,3.106
1.33051,3.738
1.29505,3.841
1.28572,3.82
1.23296,3.772
1.25661,3.735
1.30371,3.706
1.02051,3.179
1.01237,2.706
0.999829,2.68
1.02147,2.738
1.00768,2.867
0.987338,2.96
1.28489,3.841
1.29456,3.999
1.01032,3.176
1.0164,3.165
1.04339,3.248
1.28757,3.885
1.03423,3.047
1.28082,2.946
1.03503,3.103
1.0387,3.021
1.01233,3.086
0.992944,3.033
1.29458,4.026
0.99434,2.977
1.2767,3.926
1.3049,3.939
0.953368,1.634
0.951258,1.625
0.929639,1.566
0.930387,1.57
0.928945,1.488
1.06285,3.351
1.0731,3.356
1.07854,3.323
1.07972,3.255
0.939947,1.096
0.921486,1.112
0.928287,1.156
0.938597,0.996
1.2543,3.774
1.2293,3.658
1.3612,3.922
1.37419,3.954
0.917983,0.799
1.37599,3.913
1.30161,3.919
1.293,3.857
1.30761,4.043
1.31746,4.049
0.919893,2.238
0.924668,2.267
1.19133,2.92
1.23466,3.104
0.951844,2.406
1.15938,2.941
1.29694,3.9
1.25381,3.749
0.758363,2.223
0.910432,2.114
0.900474,2.083
0.90641,2.018
1.50719,3.964
0.920102,2.14
0.915875,2.161
0.925608,2.222
0.922372,2.16
1.46617,3.698
1.45823,3.518
1.49208,3.429
1.51263,3.41
0.921085,2.251
1.21725,3.484
0.917074,1.26
0.89583,1.09
0.934897,0.943
0.894468,0.952
0.974315,2.561
0.986001,2.565
0.978356,2.536
0.989221,2.623
0.993099,2.708
0.906623,0.849
0.980416,2.867
0.962716,2.675
0.999157,3.021
0.995854,2.911
0.994905,2.804
0.963058,2.646
0.95632,2.684
0.977345,2.731
0.984574,2.701
0.968179,2.595
0.987344,2.719
1.45,3.919
0.762008,1.608
0.764557,1.518
1.42791,3.716
1.44711,3.828
1.43901,4.028
1.42111,3.922
1.42597,3.896
1.42945,3.941
1.44981,3.856
1.45761,3.944
1.46771,3.845
1.43112,3.851
1.40892,3.986
1.41904,3.965
1.08081,3.082
1.09036,3.102
1.08294,3.184
1.09347,3.143
1.0819,3.062
0.954835,2.788
1.38796,3.628
1.3771,3.533
1.41012,3.427
0.921233,2.485
1.37349,3.416
1.40369,3.356
0.927094,2.557
0.924303,2.544
0.918553,2.564
0.921203,2.399
0.869764,1.021
0.883634,1.017
0.855887,1.017
1.12516,2.741
1.09759,2.626
1.07277,2.727
1.09128,2.78
1.44702,3.445
1.06549,2.549
1.07443,3.317
1.11302,3.464
1.07665,3.247
1.08231,3.293
1.12287,3.302
1.12346,3.399
1.50904,3.602
1.50739,3.673
1.49342,3.513
0.971192,2.474
1.11257,3.476
0.888498,2.557
0.880393,2.547
0.852279,2.016
0.830019,1.913
0.849244,2.432
0.856259,2.481
0.821773,1.946
1.52374,3.593
1.55509,3.396
1.06589,3.305
1.48938,3.572
1.51796,3.621
1.0972,3.504
1.52296,3.743
1.51573,3.74
1.53057,3.658
1.00567,2.143
0.875846,2.567
0.893592,2.587
0.89404,2.517
1.07792,3.561
1.0896,3.516
1.08989,3.566
1.09179,3.572
1.57867,3.482
1.57248,3.547
1.56039,3.616
1.00633,2.562
1.51005,3.566
0.985631,2.476
0.996316,2.451
1.00138,2.37
1.56581,3.482
1.01167,2.507
1.05034,2.481
1.52862,3.271
1.55605,3.138
1.02363,2.619
1.0328,2.706
1.03373,2.751
1.59071,3.383
1.6026,3.241
0.988511,2.143
0.959292,2.029
0.996451,2.251
1.00494,2.291
0.960062,2.128
0.949724,2.126
0.987673,2.191
0.97803,2.004
0.964368,1.958
1.6067,3.51
1.65635,3.471
1.37106,3.696
1.67577,3.531
1.6763,3.57
1.66753,3.368
1.67572,3.453
1.67377,3.489
1.71034,3.374
1.341,3.256
1.30637,3.192
1.31477,3.121
0.938695,1.841
1.23726,2.964
1.24782,2.961
0.963681,1.748
1.2344,2.877
0.971941,2.882
1.20829,2.91
1.19891,2.823
1.17096,2.897
1.16549,2.843
0.955879,2.97
1.00137,2.637
1.028,2.843
0.862986,1.082
0.855219,1.09
0.863687,1.043
0.850777,1.066
1.00527,2.427
0.859358,1.083
0.85904,1.054
0.862413,0.979
0.876495,1.055
0.868956,1.056
1.07216,2.893
1.0739,2.887
0.854986,1.014
1.04032,2.869
1.03837,2.877
1.10496,3.181
1.08694,3.172
1.05466,3.01
1.02932,2.993
1.00554,2.826
1.09994,2.941
0.87393,2.46
0.873017,2.435
1.01019,2.723
1.03017,2.757
1.04455,2.884
0.90945,2.692
0.901281,2.497
0.920695,2.621
0.907933,2.531
0.912413,2.594
0.908831,2.651
1.03236,2.96
0.910851,2.697
1.03042,3.005
1.06339,3.085
1.08139,3.081
1.05978,3.056
1.06825,3.015
1.06341,3.026
1.05185,2.959
1.0281,2.878
1.04043,3.002
0.615943,1.226
1.01985,3.013
0.991337,3.002
0.605399,1.165
0.612493,1.257
0.615745,1.276
0.978177,2.994
0.97889,2.9
0.969955,2.972
1.0086,3.139
0.605064,1.268
0.6065,1.281
1.0223,3.174
0.97768,2.514
0.995131,2.632
0.859952,0.957
0.614842,1.254
0.628769,1.436
0.637316,1.471
1.01666,2.483
1.01946,2.444
1.01224,2.475
0.983891,2.207
0.984746,2.308
0.988468,2.386
1.00138,2.38
0.970575,2.351
0.996972,2.144
1.04401,2.746
0.988269,2.355
0.965572,2.238
0.959953,2.183
0.979077,2.142
0.996791,2.399
0.986874,2.381
0.992994,2.41
0.991807,2.361
0.641791,1.387
0.622813,1.271
0.636896,1.384
0.646357,1.314
0.624215,1.209
0.625699,1.225
0.62405,1.256
0.631024,1.232
0.621607,1.327
0.624092,1.271
0.626337,1.218
0.617972,1.194
1.00521,2.672
1.03128,2.896
1.02075,2.825
0.888701,1.0
0.866698,1.031
0.873156,0.988
0.889522,0.979
1.15237,2.984
1.14159,2.889
1.05815,3.129
1.13299,2.856
1.13122,2.83
1.10374,2.803
1.0306,2.809
1.00651,2.629
1.01557,2.687
1.01185,2.626
0.991071,2.681
1.00206,2.775
0.845962,1.04
1.01049,2.756
0.862733,1.106
0.84506,1.049
0.836063,1.0
1.0845,2.703
1.09275,2.683
1.08017,2.711
0.991303,2.771
1.11124,3.359
1.09044,2.652
1.09056,3.395
0.814832,1.559
1.02648,3.014
1.02708,3.049
0.816775,1.578
0.80837,1.56
0.795497,1.559
1.04408,3.055
0.808663,1.585
0.827112,1.551
1.02508,2.809
1.01141,2.683
1.07198,2.576
1.04474,2.595
1.07785,2.653
1.09083,2.676
0.984543,2.646
1.01555,2.786
1.06046,2.664
1.0828,2.707
1.08971,2.872
0.991548,2.643
1.00484,2.823
0.979993,2.691
0.968597,2.665
0.975974,2.732
1.08405,2.911
0.990119,2.672
1.12404,3.326
1.14364,3.29
1.11673,3.19
1.1382,3.648
1.03531,2.647
1.17415,3.625
1.16994,3.223
1.17951,3.3
1.20257,3.55
1.04308,2.442
1.05527,2.428
0.855818,1.218
1.12964,3.097
1.1139,3.129
1.14459,3.178
1.11791,3.159
0.999324,2.479
1.033,2.62
1.05483,2.717
1.05233,2.682
1.03488,2.686
0.965215,2.665
0.967013,2.626
0.983883,2.748
0.968753,2.667
0.979699,2.725
1.08704,3.072
1.02097,2.811
1.08662,3.158
1.13821,3.465
1.01064,2.863
0.974872,2.644
0.997728,2.63
0.978987,2.996
0.982012,2.918
0.971741,2.939
0.997648,2.982
1.0245,3.008
0.941833,2.514
1.02742,3.041
0.938179,2.548
0.945788,2.486
0.861563,1.235
0.959994,2.573
0.857484,1.245
0.950782,2.497
0.966584,2.54
0.952787,2.432
0.959998,2.621
0.877116,1.148
0.960695,2.542
0.9756,2.534
0.857979,1.219
0.867078,1.194
0.878463,1.3
0.894258,1.361
0.990272,2.739
0.962744,2.681
