Rg,Ree
0.986367,1.867
0.800205,2.034
0.787006,2.008
0.794467,1.919
0.786319,1.925
1.03499,2.126
1.05089,2.246
1.04014,2.178
1.07191,2.372
0.774598,1.824
1.06166,2.065
0.78594,1.815
0.994166,2.091
0.995153,1.836
0.796048,1.81
0.78507,1.848
0.77276,1.909
0.769716,1.877
0.771985,1.912
0.762533,1.891
0.9676,2.612
0.966619,2.642
0.982337,2.613
0.764107,1.974
0.762407,1.918
0.788665,1.857
1.00643,2.783
0.973602,2.661
1.0324,2.796
1.01207,2.866
0.97184,2.426
0.946341,2.417
1.02312,3.065
0.964785,2.426
0.959912,2.414
1.037,3.058
1.06652,3.157
1.07505,3.187
0.966924,2.428
0.797435,1.745
0.961288,2.478
0.97516,2.512
0.971379,2.384
0.919435,2.158
0.807953,1.948
0.810598,1.966
0.811236,1.94
0.779684,1.924
0.809116,1.925
0.797609,1.762
0.95023,2.653
0.953967,2.69
1.08597,2.455
0.967016,2.888
0.956334,1.905
0.960352,2.024
0.979215,2.916
1.20372,3.208
1.20472,3.134
0.971723,1.966
0.980581,2.164
0.973006,2.051
0.973983,2.921
0.97365,2.862
0.979085,2.19
0.934608,2.194
0.984306,3.068
