Rg,Ree
0.92409,1.553
1.04108,2.576
0.96084,1.448
0.832175,1.085
0.818817,1.024
0.945199,1.433
0.83319,1.288
0.941739,1.147
0.933888,0.995
0.908153,1.202
0.931587,1.33
0.939205,1.16
0.94032,1.272
0.932288,1.209
1.07033,3.032
1.02904,2.633
0.789788,1.114
0.797214,1.002
0.948097,1.523
0.824018,0.984
1.04857,3.019
1.05347,3.102
0.874831,1.11
1.07181,3.092
1.11816,2.941
1.14211,2.855
0.894451,1.011
0.893468,1.492
0.898692,0.771
0.908265,0.842
0.884443,1.057
1.56864,2.816
1.56057,2.995
1.54389,3.191
1.53118,2.96
1.50723,2.99
1.5155,3.041
1.48501,2.999
1.40722,3.329
1.41669,3.449
1.38717,3.403
1.39919,3.176
1.38957,3.124
1.41071,3.052
1.46902,3.023
1.40231,3.312
1.47992,4.263
1.49555,4.561
1.45816,3.305
1.43634,3.216
1.34513,3.062
1.35365,3.256
1.36372,3.395
1.05437,2.031
0.880952,0.763
0.898358,2.414
0.9188,2.469
0.874679,0.593
0.866097,0.577
0.882358,0.73
0.860248,2.981
1.58503,2.63
0.859379,0.619
0.987084,2.793
1.00766,2.889
0.946916,2.699
0.854281,0.74
0.849196,0.591
0.85452,0.599
0.835848,0.598
0.828624,2.34
0.828639,2.345
0.842283,2.24
0.902285,2.607
0.889927,2.524
0.899465,2.702
0.893131,2.33
0.819687,2.397
1.14092,3.802
0.819478,2.389
0.820417,2.355
1.03671,2.181
0.885161,0.71
0.899531,0.732
0.901564,0.924
1.0467,2.91
0.828752,2.028
0.834722,2.545
0.825374,2.418
1.05121,3.014
1.02927,2.861
1.02424,2.792
0.979677,2.358
0.982148,2.552
0.891369,2.757
0.940256,3.059
0.985576,2.553
0.983123,2.497
0.886236,2.583
1.12277,2.405
1.08377,2.457
1.17255,2.926
1.22023,3.038
1.15927,2.83
1.17451,2.783
0.906817,1.944
1.12859,3.146
1.00164,2.308
0.846093,1.132
0.854119,1.178
0.92024,3.044
0.897065,3.02
1.26591,3.364
1.34881,3.515
1.0708,3.101
1.13493,3.348
0.901233,2.952
1.05883,2.788
0.984002,2.363
1.25469,3.386
1.22044,3.443
0.937205,1.826
0.980603,2.956
0.937666,1.616
0.955146,1.644
1.48165,3.133
1.48009,3.21
1.48958,2.879
1.05873,3.531
1.11163,3.699
0.839158,1.534
0.838546,1.559
1.3959,2.902
1.12434,3.511
1.44619,2.598
1.10954,3.532
1.48448,2.59
1.49294,2.509
1.09302,3.438
1.04277,3.283
1.50594,2.381
1.0627,3.431
1.52431,2.319
1.56561,2.136
1.09356,3.347
0.908822,1.957
1.55571,2.219
0.88238,1.986
1.03655,2.978
1.05463,3.238
1.12524,3.442
0.881299,1.561
0.911451,1.381
0.900916,1.275
0.917659,2.46
1.21539,3.515
0.881222,1.538
0.863851,1.416
1.52041,2.944
0.880025,1.279
0.861164,1.183
1.39929,2.744
1.41361,2.863
1.40039,3.172
1.3749,3.188
1.41751,3.227
1.00043,2.842
0.985856,2.735
1.24967,3.69
1.2532,3.854
1.26407,4.045
1.15171,3.714
1.18002,3.755
1.20249,3.927
1.25537,3.702
1.27819,3.688
1.20304,3.333
0.848288,0.99
0.845462,1.157
1.17385,3.019
1.1894,3.093
1.10261,3.546
1.14073,3.521
1.1186,3.556
1.16171,3.539
1.13066,3.433
0.826169,1.193
1.39062,3.486
0.816573,1.34
0.807878,1.481
0.828788,1.475
1.12042,3.325
0.818161,1.484
1.0311,3.295
0.974058,3.102
0.825833,1.422
0.834845,1.681
0.824538,1.362
1.06609,2.616
1.06257,2.795
0.833954,1.292
1.13942,3.058
1.11526,2.8
1.10968,2.863
1.40595,3.877
1.36575,3.704
1.4114,3.826
1.28003,3.113
1.1222,3.377
1.10713,3.476
1.09633,3.48
1.06784,3.11
1.11222,2.971
0.951899,2.75
0.967949,2.867
0.966002,2.639
1.18738,2.225
0.989409,2.914
1.18345,2.456
1.19785,2.382
1.01876,3.075
1.16573,2.269
1.14978,2.224
1.13032,2.469
1.03467,3.461
1.03586,3.423
1.59919,3.183
1.62701,3.186
1.68021,2.893
1.07598,3.132
1.08396,3.105
1.61258,3.372
0.844626,1.555
0.866186,1.652
0.860082,1.216
0.836782,1.217
1.39023,3.769
1.62798,3.311
1.63321,3.192
1.56371,3.251
1.30673,3.01
1.30736,3.08
1.3438,3.32
1.18461,3.305
0.874435,1.193
0.892565,1.223
1.12929,3.069
1.09533,2.729
1.15224,2.896
1.53023,3.352
1.17971,3.065
1.18617,2.956
1.5923,3.14
1.38221,3.851
1.40957,3.89
1.57586,2.977
1.571,3.106
1.59598,2.729
1.56813,2.745
1.50833,2.975
0.860044,1.892
0.86697,1.804
1.42964,2.835
1.28922,3.838
1.49952,2.696
1.01811,2.425
1.58058,2.527
1.62972,2.414
0.98706,2.75
1.04629,2.857
1.64324,2.741
1.62744,2.859
1.01294,2.387
1.0262,2.663
1.5998,3.026
0.839193,1.671
0.841848,1.474
0.835924,1.445
0.821729,1.406
0.810637,1.414
1.62417,3.168
1.65632,3.453
1.6702,3.113
1.63421,3.313
0.854157,1.466
0.836971,1.442
0.819444,1.322
0.836068,1.633
0.830315,1.512
0.842969,1.635
0.827459,1.773
0.814861,1.698
0.840539,1.312
0.850074,1.26
0.853693,1.449
0.854528,1.445
0.847195,1.763
1.32571,3.62
1.33755,3.719
1.28778,3.704
1.67592,3.141
1.28587,3.405
1.61869,2.842
1.61945,2.594
1.62187,2.738
1.63413,2.903
1.28657,3.719
1.11615,2.163
1.1431,2.231
1.10322,1.93
1.07568,1.877
1.5612,3.389
1.57262,3.551
1.58131,3.419
1.0942,2.859
0.99049,1.434
0.999583,1.543
0.98559,1.557
0.989539,1.532
1.06269,2.693
1.06945,2.646
1.00813,1.58
0.954735,1.358
0.974305,1.341
0.927218,1.188
0.940778,1.148
0.944996,1.167
1.40683,3.217
0.860953,0.856
0.85817,0.769
1.06659,2.82
0.864218,0.734
0.866268,0.816
0.828235,0.936
0.857356,0.916
0.82719,1.685
0.823847,1.681
1.00247,2.1
0.853811,1.732
0.853202,1.952
0.865325,1.706
0.848028,1.63
0.832582,1.353
0.847425,1.374
1.45515,3.349
0.859942,1.435
0.828944,1.426
1.39002,3.415
0.861801,1.936
0.970992,2.168
1.40646,3.247
1.36859,3.334
0.838703,1.931
0.836143,1.782
0.839592,1.698
0.845792,1.516
1.15487,2.338
0.821069,1.385
0.977497,2.655
0.952822,2.56
1.14321,2.15
1.02063,2.805
1.05427,3.077
1.03067,3.021
1.07563,3.11
1.09285,3.162
1.07039,3.045
1.05682,2.982
1.14028,2.912
0.845665,1.161
0.854815,1.433
0.868811,1.087
0.846868,1.169
1.14089,2.641
1.13968,2.533
1.36969,4.072
0.854721,1.186
0.853736,1.179
