time,n_oxygens_36,n_hydrogens_36,n_oxygens_35,n_hydrogens_35,n_oxygens_34,n_hydrogens_34,n_oxygens_33,n_hydrogens_33,n_oxygens_32,n_hydrogens_32,n_oxygens_31,n_hydrogens_31,n_oxygens_30,n_hydrogens_30,n_oxygens_29,n_hydrogens_29,n_oxygens_28,n_hydrogens_28,n_oxygens_27,n_hydrogens_27,n_oxygens_26,n_hydrogens_26
2240,7,9,4,15,5,8,5,11,7,10,4,9,5,8,7,10,5,19,9,8,6,14
2250,6,12,7,9,5,12,9,14,3,13,6,12,6,8,6,14,8,10,2,13,9,10
2260,5,8,6,10,5,14,9,13,3,10,7,13,8,12,5,15,6,10,4,13,9,13
2270,5,11,8,16,6,11,4,10,6,16,7,11,5,14,6,11,6,10,6,15,8,10
2280,5,10,7,13,5,11,8,16,3,10,6,11,11,14,3,15,5,7,6,12,3,8
2290,7,13,6,8,4,14,7,10,4,16,5,11,10,12,4,12,7,12,6,9,6,13
2300,6,10,5,12,8,17,8,14,4,8,5,14,7,13,9,14,2,9,8,12,9,14
2310,5,6,9,14,6,16,6,8,4,14,8,14,5,12,5,11,8,12,4,13,7,10
2320,6,6,6,12,7,19,3,4,6,14,6,12,8,15,9,13,4,13,7,11,7,15
2330,6,7,5,15,3,4,6,12,10,15,3,11,7,14,9,11,4,13,6,9,9,19
2340,3,8,8,14,8,14,3,11,11,16,5,12,4,8,7,11,6,14,7,11,5,16
2350,3,4,6,14,6,11,5,13,5,10,8,13,6,11,7,12,7,15,5,9,4,12
2360,6,6,6,20,6,8,5,12,6,14,8,11,3,13,8,15,4,9,6,10,7,10
2370,5,9,8,14,4,12,7,14,7,11,4,9,5,12,6,18,5,8,6,13,3,10
2380,8,11,4,8,4,8,10,15,3,8,6,12,8,11,4,14,6,11,7,14,6,8
2390,4,5,4,14,7,8,6,15,6,10,5,12,8,15,3,10,8,13,4,13,5,8
2400,5,10,6,11,7,11,6,13,8,17,5,9,6,12,4,12,9,12,4,10,6,13
2410,3,9,6,11,3,11,7,11,7,13,5,7,7,16,7,13,8,14,3,10,6,11
2420,4,4,3,15,8,5,3,14,8,15,5,11,4,13,8,11,8,13,5,11,7,9
2430,8,14,6,13,6,10,4,8,9,13,6,15,6,12,6,8,5,16,7,10,5,11
2440,9,16,4,12,6,9,8,14,8,17,3,6,3,12,6,10,7,16,7,11,7,17
2450,5,11,6,11,5,8,7,19,5,8,10,14,6,13,6,12,8,12,9,15,3,13
2460,7,11,5,14,6,14,6,8,7,15,4,14,7,11,6,13,6,14,6,11,5,16
2470,6,13,6,10,3,12,9,10,6,10,4,10,5,14,7,11,6,9,6,12,8,18
2480,3,6,8,10,3,11,9,14,1,10,10,14,5,18,6,8,8,17,6,8,5,14
2490,7,7,4,14,8,12,5,12,10,13,7,15,5,11,5,12,7,10,4,13,7,13
2500,5,8,5,11,5,11,12,14,6,17,7,9,3,10,7,11,6,12,7,15,3,8
2510,1,4,7,13,8,13,5,11,5,10,6,14,8,10,6,14,3,11,6,11,7,14
2520,3,10,7,8,4,12,6,14,8,11,3,13,8,9,8,13,2,10,11,17,5,15
2530,4,6,6,11,5,11,5,10,5,10,7,13,4,10,5,14,9,12,4,14,7,11
2540,8,11,5,12,3,14,10,11,6,12,6,10,3,12,8,10,7,14,5,14,7,7
2550,6,9,5,14,6,12,6,14,9,14,4,10,8,16,7,12,4,11,6,15,6,10
2560,7,5,5,14,7,12,6,12,5,13,8,14,4,11,6,14,7,10,7,13,6,11
2570,4,9,5,12,7,9,5,11,5,15,8,12,5,14,8,8,7,17,7,14,6,12
2580,5,5,5,13,6,9,8,11,5,15,6,14,8,9,3,14,8,8,3,10,7,11
2590,6,11,5,12,4,7,6,13,9,15,5,9,7,14,5,17,6,15,5,15,10,16
2600,5,6,4,9,7,12,5,14,10,15,3,9,9,13,5,16,6,9,5,12,9,14
2610,3,8,6,10,3,10,9,14,6,12,8,13,6,13,6,9,7,14,4,12,4,12
2620,7,12,4,8,5,7,7,15,6,12,5,13,5,11,5,14,5,13,7,12,5,10
2630,2,6,7,14,7,12,5,14,5,8,11,17,5,10,5,12,8,14,7,8,4,14
2640,4,8,9,10,5,17,7,6,6,16,4,9,7,9,2,11,8,9,5,12,6,12
2650,4,10,4,7,6,16,6,9,6,13,6,13,5,13,5,11,9,8,2,13,8,13
2660,4,11,9,11,4,13,3,11,7,14,6,9,5,15,7,13,6,13,1,7,9,13
2670,3,7,7,14,2,7,5,9,4,11,8,13,7,13,4,11,9,15,4,10,6,12
2680,3,11,6,8,8,19,4,6,8,14,7,14,5,10,7,13,6,10,2,16,10,11
2690,6,10,6,8,3,10,9,18,5,7,3,14,10,12,5,11,6,18,8,9,4,11
2700,7,10,5,14,8,12,4,14,7,8,5,9,8,15,5,13,6,7,5,11,7,9
2710,5,12,5,8,5,13,6,11,5,11,5,14,10,10,4,12,6,14,7,15,7,8
2720,4,5,5,13,5,9,4,9,7,12,8,14,7,10,5,14,7,13,3,8,8,9
2730,5,7,4,8,9,15,6,11,4,13,6,13,9,9,4,13,5,5,9,18,6,13
2740,3,7,7,10,5,10,8,13,6,14,5,13,6,12,8,13,3,7,6,16,7,12
2750,4,11,9,11,6,7,9,20,4,10,7,14,7,9,3,12,9,11,8,16,5,11
2760,5,8,4,8,5,13,6,8,5,18,8,9,5,12,9,11,6,10,7,14,4,10
2770,8,11,1,10,9,8,4,13,8,12,3,13,8,12,5,11,7,13,6,15,6,11
2780,7,8,3,8,6,12,7,12,6,11,6,10,7,17,9,10,4,13,5,10,6,16
2790,2,6,9,15,4,9,4,6,7,17,7,14,5,12,7,11,5,11,6,11,4,7
2800,3,11,9,12,2,10,8,13,5,11,7,15,8,16,5,7,6,14,7,16,4,9
2810,6,12,6,6,4,13,5,13,6,10,5,11,5,14,9,18,6,10,6,14,5,9
